well,row,column,plate,media,taxa,day,oo,od620,oo_growth,oo_mass,bacterial_strain,replicate,index,index2
A1,A,1,1,keratin,EKS20.5,1,1,0.37,0.13,0.016,Stenotrophomonas,A,2,4
C1,C,1,1,keratin,BR1.9,1,1,0.309,0.12,0.021,Actinetobacter,A,2,4
E1,E,1,1,keratin,BR1.10,1,1,0.228,0.07,0.022,Chryseobacterium,A,2,4
G1,G,1,1,keratin,blank,1,1,0.247,0.16,0.037,blank,A,2,4
A3,A,3,1,keratin,EKS20.5,1,1,0.347,0.12,0.028,Stenotrophomonas,B,2,4
C3,C,3,1,keratin,BR1.9,1,1,0.265,0.13,0.02,Actinetobacter,B,2,4
E3,E,3,1,keratin,BR1.10,1,1,0.233,0.1,0.023,Chryseobacterium,B,2,4
G3,G,3,1,keratin,blank,1,1,0.219,0.2,0.033,blank,B,2,4
A5,A,5,1,keratin,EKS20.5,1,1,0.334,0.15,0.022,Stenotrophomonas,C,2,4
C5,C,5,1,keratin,BR1.9,1,1,0.311,0.09,0.034,Actinetobacter,C,2,4
E5,E,5,1,keratin,BR1.10,1,1,0.225,0.12,0.028,Chryseobacterium,C,2,4
G5,G,5,1,keratin,blank,1,1,0.221,0.17,0.062,blank,C,2,4
A7,A,7,1,keratin,EKS20.5,1,0,0.293,NA,NA,Stenotrophomonas,A,2,3
C7,C,7,1,keratin,BR1.9,1,0,0.24,NA,NA,Actinetobacter,A,2,3
E7,E,7,1,keratin,BR1.10,1,0,0.231,NA,NA,Chryseobacterium,A,2,3
G7,G,7,1,keratin,blank,1,0,0.229,NA,NA,blank,A,2,3
A9,A,9,1,keratin,EKS20.5,1,0,0.291,NA,NA,Stenotrophomonas,B,2,3
C9,C,9,1,keratin,BR1.9,1,0,0.229,NA,NA,Actinetobacter,B,2,3
E9,E,9,1,keratin,BR1.10,1,0,0.228,NA,NA,Chryseobacterium,B,2,3
G9,G,9,1,keratin,blank,1,0,0.225,NA,NA,blank,B,2,3
A11,A,11,1,keratin,EKS20.5,1,0,0.309,NA,NA,Stenotrophomonas,C,2,3
C11,C,11,1,keratin,BR1.9,1,0,0.231,NA,NA,Actinetobacter,C,2,3
E11,E,11,1,keratin,BR1.10,1,0,0.217,NA,NA,Chryseobacterium,C,2,3
G11,G,11,1,keratin,blank,1,0,0.23,NA,NA,blank,C,2,3
A1,A,1,2,m9,EKS20.5,1,1,0.212,0.06,0.018,Stenotrophomonas,A,1,2
C1,C,1,2,m9,BR1.9,1,1,0.254,0,0.017,Actinetobacter,A,1,2
E1,E,1,2,m9,BR1.10,1,1,0.232,0.05,0.024,Chryseobacterium,A,1,2
G1,G,1,2,m9,blank,1,1,0.206,0.07,0.008,blank,A,1,2
A3,A,3,2,m9,EKS20.5,1,1,0.213,0.06,0.036,Stenotrophomonas,B,1,2
C3,C,3,2,m9,BR1.9,1,1,0.245,0,0.019,Actinetobacter,B,1,2
E3,E,3,2,m9,BR1.10,1,1,0.218,0.09,0.01,Chryseobacterium,B,1,2
G3,G,3,2,m9,blank,1,1,0.203,0.11,0.013,blank,B,1,2
A5,A,5,2,m9,EKS20.5,1,1,0.214,0,0.025,Stenotrophomonas,C,1,2
C5,C,5,2,m9,BR1.9,1,1,0.252,0,0.009,Actinetobacter,C,1,2
E5,E,5,2,m9,BR1.10,1,1,0.211,0,0.046,Chryseobacterium,C,1,2
G5,G,5,2,m9,blank,1,1,0.205,0.09,0.017,blank,C,1,2
A7,A,7,2,m9,EKS20.5,1,0,0.227,NA,NA,Stenotrophomonas,A,1,1
C7,C,7,2,m9,BR1.9,1,0,0.239,NA,NA,Actinetobacter,A,1,1
E7,E,7,2,m9,BR1.10,1,0,0.213,NA,NA,Chryseobacterium,A,1,1
G7,G,7,2,m9,blank,1,0,0.223,NA,NA,blank,A,1,1
A9,A,9,2,m9,EKS20.5,1,0,0.227,NA,NA,Stenotrophomonas,B,1,1
C9,C,9,2,m9,BR1.9,1,0,0.246,NA,NA,Actinetobacter,B,1,1
E9,E,9,2,m9,BR1.10,1,0,0.217,NA,NA,Chryseobacterium,B,1,1
G9,G,9,2,m9,blank,1,0,0.21,NA,NA,blank,B,1,1
A11,A,11,2,m9,EKS20.5,1,0,0.227,NA,NA,Stenotrophomonas,C,1,1
C11,C,11,2,m9,BR1.9,1,0,0.253,NA,NA,Actinetobacter,C,1,1
E11,E,11,2,m9,BR1.10,1,0,0.202,NA,NA,Chryseobacterium,C,1,1
G11,G,11,2,m9,blank,1,0,0.208,NA,NA,blank,C,1,1
A1,A,1,3,keratin,EKS20.5,2,1,1.162,0.1,0.016,Stenotrophomonas,A,2,4
C1,C,1,3,keratin,BR1.9,2,1,0.311,0.22,0.021,Actinetobacter,A,2,4
E1,E,1,3,keratin,BR1.10,2,1,0.537,0.29,0.022,Chryseobacterium,A,2,4
G1,G,1,3,keratin,blank,2,1,0.206,0.33,0.037,blank,A,2,4
A3,A,3,3,keratin,EKS20.5,2,1,1.232,0.07,0.028,Stenotrophomonas,B,2,4
C3,C,3,3,keratin,BR1.9,2,1,0.273,0.17,0.02,Actinetobacter,B,2,4
E3,E,3,3,keratin,BR1.10,2,1,0.388,0.32,0.023,Chryseobacterium,B,2,4
G3,G,3,3,keratin,blank,2,1,0.213,0.34,0.033,blank,B,2,4
A5,A,5,3,keratin,EKS20.5,2,1,1.228,0.18,0.022,Stenotrophomonas,C,2,4
C5,C,5,3,keratin,BR1.9,2,1,0.287,0.2,0.034,Actinetobacter,C,2,4
E5,E,5,3,keratin,BR1.10,2,1,0.699,0.26,0.028,Chryseobacterium,C,2,4
G5,G,5,3,keratin,blank,2,1,0.211,0.31,0.062,blank,C,2,4
A7,A,7,3,keratin,EKS20.5,2,0,1.081,NA,NA,Stenotrophomonas,A,2,3
C7,C,7,3,keratin,BR1.9,2,0,0.296,NA,NA,Actinetobacter,A,2,3
E7,E,7,3,keratin,BR1.10,2,0,0.282,NA,NA,Chryseobacterium,A,2,3
G7,G,7,3,keratin,blank,2,0,0.218,NA,NA,blank,A,2,3
A9,A,9,3,keratin,EKS20.5,2,0,1.164,NA,NA,Stenotrophomonas,B,2,3
C9,C,9,3,keratin,BR1.9,2,0,0.296,NA,NA,Actinetobacter,B,2,3
E9,E,9,3,keratin,BR1.10,2,0,0.241,NA,NA,Chryseobacterium,B,2,3
G9,G,9,3,keratin,blank,2,0,0.223,NA,NA,blank,B,2,3
A11,A,11,3,keratin,EKS20.5,2,0,1.025,NA,NA,Stenotrophomonas,C,2,3
C11,C,11,3,keratin,BR1.9,2,0,0.295,NA,NA,Actinetobacter,C,2,3
E11,E,11,3,keratin,BR1.10,2,0,0.217,NA,NA,Chryseobacterium,C,2,3
G11,G,11,3,keratin,blank,2,0,0.229,NA,NA,blank,C,2,3
A1,A,1,4,m9,EKS20.5,2,1,0.224,0.12,0.018,Stenotrophomonas,A,1,2
C1,C,1,4,m9,BR1.9,2,1,0.27,0.12,0.017,Actinetobacter,A,1,2
E1,E,1,4,m9,BR1.10,2,1,0.247,0.13,0.024,Chryseobacterium,A,1,2
G1,G,1,4,m9,blank,2,1,0.251,0.2,0.008,blank,A,1,2
A3,A,3,4,m9,EKS20.5,2,1,0.221,0.13,0.036,Stenotrophomonas,B,1,2
C3,C,3,4,m9,BR1.9,2,1,0.267,0.11,0.019,Actinetobacter,B,1,2
E3,E,3,4,m9,BR1.10,2,1,0.231,0.13,0.01,Chryseobacterium,B,1,2
G3,G,3,4,m9,blank,2,1,0.227,0.25,0.013,blank,B,1,2
A5,A,5,4,m9,EKS20.5,2,1,0.212,0.15,0.025,Stenotrophomonas,C,1,2
C5,C,5,4,m9,BR1.9,2,1,0.246,0.05,0.009,Actinetobacter,C,1,2
E5,E,5,4,m9,BR1.10,2,1,0.242,0.17,0.046,Chryseobacterium,C,1,2
G5,G,5,4,m9,blank,2,1,0.235,0.18,0.017,blank,C,1,2
A7,A,7,4,m9,EKS20.5,2,0,0.212,NA,NA,Stenotrophomonas,A,1,1
C7,C,7,4,m9,BR1.9,2,0,0.241,NA,NA,Actinetobacter,A,1,1
E7,E,7,4,m9,BR1.10,2,0,0.218,NA,NA,Chryseobacterium,A,1,1
G7,G,7,4,m9,blank,2,0,0.214,NA,NA,blank,A,1,1
A9,A,9,4,m9,EKS20.5,2,0,0.225,NA,NA,Stenotrophomonas,B,1,1
C9,C,9,4,m9,BR1.9,2,0,0.249,NA,NA,Actinetobacter,B,1,1
E9,E,9,4,m9,BR1.10,2,0,0.224,NA,NA,Chryseobacterium,B,1,1
G9,G,9,4,m9,blank,2,0,0.212,NA,NA,blank,B,1,1
A11,A,11,4,m9,EKS20.5,2,0,0.085,NA,NA,Stenotrophomonas,C,1,1
C11,C,11,4,m9,BR1.9,2,0,0.227,NA,NA,Actinetobacter,C,1,1
E11,E,11,4,m9,BR1.10,2,0,0.221,NA,NA,Chryseobacterium,C,1,1
G11,G,11,4,m9,blank,2,0,0.203,NA,NA,blank,C,1,1
A1,A,1,5,keratin,EKS20.5,3,1,1.833,0.14,0.016,Stenotrophomonas,A,2,4
C1,C,1,5,keratin,BR1.9,3,1,0.225,0.38,0.021,Actinetobacter,A,2,4
E1,E,1,5,keratin,BR1.10,3,1,1.291,0.16,0.022,Chryseobacterium,A,2,4
G1,G,1,5,keratin,blank,3,1,0.215,0.49,0.037,blank,A,2,4
A3,A,3,5,keratin,EKS20.5,3,1,1.673,0.11,0.028,Stenotrophomonas,B,2,4
C3,C,3,5,keratin,BR1.9,3,1,0.24,0.38,0.02,Actinetobacter,B,2,4
E3,E,3,5,keratin,BR1.10,3,1,1.226,0.35,0.023,Chryseobacterium,B,2,4
G3,G,3,5,keratin,blank,3,1,0.23,0.53,0.033,blank,B,2,4
A5,A,5,5,keratin,EKS20.5,3,1,1.822,0.2,0.022,Stenotrophomonas,C,2,4
C5,C,5,5,keratin,BR1.9,3,1,0.223,0.38,0.034,Actinetobacter,C,2,4
E5,E,5,5,keratin,BR1.10,3,1,1.507,0.29,0.028,Chryseobacterium,C,2,4
G5,G,5,5,keratin,blank,3,1,0.217,0.54,0.062,blank,C,2,4
A7,A,7,5,keratin,EKS20.5,3,0,2.153,NA,NA,Stenotrophomonas,A,2,3
C7,C,7,5,keratin,BR1.9,3,0,0.229,NA,NA,Actinetobacter,A,2,3
E7,E,7,5,keratin,BR1.10,3,0,1.095,NA,NA,Chryseobacterium,A,2,3
G7,G,7,5,keratin,blank,3,0,0.211,NA,NA,blank,A,2,3
A9,A,9,5,keratin,EKS20.5,3,0,1.813,NA,NA,Stenotrophomonas,B,2,3
C9,C,9,5,keratin,BR1.9,3,0,0.242,NA,NA,Actinetobacter,B,2,3
E9,E,9,5,keratin,BR1.10,3,0,0.87,NA,NA,Chryseobacterium,B,2,3
G9,G,9,5,keratin,blank,3,0,0.221,NA,NA,blank,B,2,3
A11,A,11,5,keratin,EKS20.5,3,0,1.887,NA,NA,Stenotrophomonas,C,2,3
C11,C,11,5,keratin,BR1.9,3,0,0.246,NA,NA,Actinetobacter,C,2,3
E11,E,11,5,keratin,BR1.10,3,0,0.651,NA,NA,Chryseobacterium,C,2,3
G11,G,11,5,keratin,blank,3,0,0.229,NA,NA,blank,C,2,3
A1,A,1,6,m9,EKS20.5,3,1,0.219,0.25,0.018,Stenotrophomonas,A,1,2
C1,C,1,6,m9,BR1.9,3,1,0.249,0.27,0.017,Actinetobacter,A,1,2
E1,E,1,6,m9,BR1.10,3,1,0.22,0.28,0.024,Chryseobacterium,A,1,2
G1,G,1,6,m9,blank,3,1,0.21,0.36,0.008,blank,A,1,2
A3,A,3,6,m9,EKS20.5,3,1,0.2,0.32,0.036,Stenotrophomonas,B,1,2
C3,C,3,6,m9,BR1.9,3,1,0.248,0.21,0.019,Actinetobacter,B,1,2
E3,E,3,6,m9,BR1.10,3,1,0.217,0.32,0.01,Chryseobacterium,B,1,2
G3,G,3,6,m9,blank,3,1,0.206,0.31,0.013,blank,B,1,2
A5,A,5,6,m9,EKS20.5,3,1,0.22,0.27,0.025,Stenotrophomonas,C,1,2
C5,C,5,6,m9,BR1.9,3,1,0.239,0.18,0.009,Actinetobacter,C,1,2
E5,E,5,6,m9,BR1.10,3,1,0.238,0.25,0.046,Chryseobacterium,C,1,2
G5,G,5,6,m9,blank,3,1,0.212,0.35,0.017,blank,C,1,2
A7,A,7,6,m9,EKS20.5,3,0,0.22,NA,NA,Stenotrophomonas,A,1,1
C7,C,7,6,m9,BR1.9,3,0,0.236,NA,NA,Actinetobacter,A,1,1
E7,E,7,6,m9,BR1.10,3,0,0.223,NA,NA,Chryseobacterium,A,1,1
G7,G,7,6,m9,blank,3,0,0.228,NA,NA,blank,A,1,1
A9,A,9,6,m9,EKS20.5,3,0,0.22,NA,NA,Stenotrophomonas,B,1,1
C9,C,9,6,m9,BR1.9,3,0,0.234,NA,NA,Actinetobacter,B,1,1
E9,E,9,6,m9,BR1.10,3,0,0.216,NA,NA,Chryseobacterium,B,1,1
G9,G,9,6,m9,blank,3,0,0.219,NA,NA,blank,B,1,1
A11,A,11,6,m9,EKS20.5,3,0,0.217,NA,NA,Stenotrophomonas,C,1,1
C11,C,11,6,m9,BR1.9,3,0,0.232,NA,NA,Actinetobacter,C,1,1
E11,E,11,6,m9,BR1.10,3,0,0.205,NA,NA,Chryseobacterium,C,1,1
G11,G,11,6,m9,blank,3,0,0.198,NA,NA,blank,C,1,1
A1,A,1,7,keratin,EKS20.5,4,1,1.681,NA,0.016,Stenotrophomonas,A,2,4
C1,C,1,7,keratin,BR1.9,4,1,0.238,0.49,0.021,Actinetobacter,A,2,4
E1,E,1,7,keratin,BR1.10,4,1,1.314,0.15,0.022,Chryseobacterium,A,2,4
G1,G,1,7,keratin,blank,4,1,0.232,0.62,0.037,blank,A,2,4
A3,A,3,7,keratin,EKS20.5,4,1,1.52,0.07,0.028,Stenotrophomonas,B,2,4
C3,C,3,7,keratin,BR1.9,4,1,0.267,0.71,0.02,Actinetobacter,B,2,4
E3,E,3,7,keratin,BR1.10,4,1,1.224,0.26,0.023,Chryseobacterium,B,2,4
G3,G,3,7,keratin,blank,4,1,0.209,0.71,0.033,blank,B,2,4
A5,A,5,7,keratin,EKS20.5,4,1,1.562,NA,0.022,Stenotrophomonas,C,2,4
C5,C,5,7,keratin,BR1.9,4,1,0.242,0.54,0.034,Actinetobacter,C,2,4
E5,E,5,7,keratin,BR1.10,4,1,1.579,0.27,0.028,Chryseobacterium,C,2,4
G5,G,5,7,keratin,blank,4,1,0.216,0.72,0.062,blank,C,2,4
A7,A,7,7,keratin,EKS20.5,4,0,1.456,NA,NA,Stenotrophomonas,A,2,3
C7,C,7,7,keratin,BR1.9,4,0,0.236,NA,NA,Actinetobacter,A,2,3
E7,E,7,7,keratin,BR1.10,4,0,1.48,NA,NA,Chryseobacterium,A,2,3
G7,G,7,7,keratin,blank,4,0,0.218,NA,NA,blank,A,2,3
A9,A,9,7,keratin,EKS20.5,4,0,1.406,NA,NA,Stenotrophomonas,B,2,3
C9,C,9,7,keratin,BR1.9,4,0,0.244,NA,NA,Actinetobacter,B,2,3
E9,E,9,7,keratin,BR1.10,4,0,1.3,NA,NA,Chryseobacterium,B,2,3
G9,G,9,7,keratin,blank,4,0,0.232,NA,NA,blank,B,2,3
A11,A,11,7,keratin,EKS20.5,4,0,1.24,NA,NA,Stenotrophomonas,C,2,3
C11,C,11,7,keratin,BR1.9,4,0,0.224,NA,NA,Actinetobacter,C,2,3
E11,E,11,7,keratin,BR1.10,4,0,1.236,NA,NA,Chryseobacterium,C,2,3
G11,G,11,7,keratin,blank,4,0,0.227,NA,NA,blank,C,2,3
A1,A,1,8,m9,EKS20.5,4,1,0.202,0.38,0.018,Stenotrophomonas,A,1,2
C1,C,1,8,m9,BR1.9,4,1,0.264,0.24,0.017,Actinetobacter,A,1,2
E1,E,1,8,m9,BR1.10,4,1,0.212,0.41,0.024,Chryseobacterium,A,1,2
G1,G,1,8,m9,blank,4,1,0.219,0.51,0.008,blank,A,1,2
A3,A,3,8,m9,EKS20.5,4,1,0.214,0.44,0.036,Stenotrophomonas,B,1,2
C3,C,3,8,m9,BR1.9,4,1,0.249,0.4,0.019,Actinetobacter,B,1,2
E3,E,3,8,m9,BR1.10,4,1,0.221,0.41,0.01,Chryseobacterium,B,1,2
G3,G,3,8,m9,blank,4,1,0.212,0.45,0.013,blank,B,1,2
A5,A,5,8,m9,EKS20.5,4,1,0.199,0.37,0.025,Stenotrophomonas,C,1,2
C5,C,5,8,m9,BR1.9,4,1,0.237,0.29,0.009,Actinetobacter,C,1,2
E5,E,5,8,m9,BR1.10,4,1,0.227,0.45,0.046,Chryseobacterium,C,1,2
G5,G,5,8,m9,blank,4,1,0.223,0.52,0.017,blank,C,1,2
A7,A,7,8,m9,EKS20.5,4,0,0.228,NA,NA,Stenotrophomonas,A,1,1
C7,C,7,8,m9,BR1.9,4,0,0.237,NA,NA,Actinetobacter,A,1,1
E7,E,7,8,m9,BR1.10,4,0,0.214,NA,NA,Chryseobacterium,A,1,1
G7,G,7,8,m9,blank,4,0,0.213,NA,NA,blank,A,1,1
A9,A,9,8,m9,EKS20.5,4,0,0.229,NA,NA,Stenotrophomonas,B,1,1
C9,C,9,8,m9,BR1.9,4,0,0.237,NA,NA,Actinetobacter,B,1,1
E9,E,9,8,m9,BR1.10,4,0,0.228,NA,NA,Chryseobacterium,B,1,1
G9,G,9,8,m9,blank,4,0,0.221,NA,NA,blank,B,1,1
A11,A,11,8,m9,EKS20.5,4,0,0.235,NA,NA,Stenotrophomonas,C,1,1
C11,C,11,8,m9,BR1.9,4,0,0.221,NA,NA,Actinetobacter,C,1,1
E11,E,11,8,m9,BR1.10,4,0,0.215,NA,NA,Chryseobacterium,C,1,1
G11,G,11,8,m9,blank,4,0,0.191,NA,NA,blank,C,1,1
A1,A,1,9,keratin,EKS20.5,5,1,1.367,NA,0.016,Stenotrophomonas,A,2,4
C1,C,1,9,keratin,BR1.9,5,1,0.228,0.64,0.021,Actinetobacter,A,2,4
E1,E,1,9,keratin,BR1.10,5,1,1.409,NA,0.022,Chryseobacterium,A,2,4
G1,G,1,9,keratin,blank,5,1,0.198,0.74,0.037,blank,A,2,4
A3,A,3,9,keratin,EKS20.5,5,1,1.179,NA,0.028,Stenotrophomonas,B,2,4
C3,C,3,9,keratin,BR1.9,5,1,0.234,1,0.02,Actinetobacter,B,2,4
E3,E,3,9,keratin,BR1.10,5,1,1.331,NA,0.023,Chryseobacterium,B,2,4
G3,G,3,9,keratin,blank,5,1,0.199,0.82,0.033,blank,B,2,4
A5,A,5,9,keratin,EKS20.5,5,1,1.439,NA,0.022,Stenotrophomonas,C,2,4
C5,C,5,9,keratin,BR1.9,5,1,0.214,0.71,0.034,Actinetobacter,C,2,4
E5,E,5,9,keratin,BR1.10,5,1,1.376,0.3,0.028,Chryseobacterium,C,2,4
G5,G,5,9,keratin,blank,5,1,0.212,0.82,0.062,blank,C,2,4
A7,A,7,9,keratin,EKS20.5,5,0,1.335,NA,NA,Stenotrophomonas,A,2,3
C7,C,7,9,keratin,BR1.9,5,0,0.217,NA,NA,Actinetobacter,A,2,3
E7,E,7,9,keratin,BR1.10,5,0,1.414,NA,NA,Chryseobacterium,A,2,3
G7,G,7,9,keratin,blank,5,0,0.204,NA,NA,blank,A,2,3
A9,A,9,9,keratin,EKS20.5,5,0,1.26,NA,NA,Stenotrophomonas,B,2,3
