well,row,column,plate,media,taxa,day,oo,od620,oo_growth,oo_mass,bacterial_strain,replicate,index,index2
C9,C,9,9,keratin,BR1.9,5,0,0.218,NA,NA,Actinetobacter,B,2,3
E9,E,9,9,keratin,BR1.10,5,0,1.275,NA,NA,Chryseobacterium,B,2,3
G9,G,9,9,keratin,blank,5,0,0.202,NA,NA,blank,B,2,3
A11,A,11,9,keratin,EKS20.5,5,0,1.291,NA,NA,Stenotrophomonas,C,2,3
C11,C,11,9,keratin,BR1.9,5,0,0.238,NA,NA,Actinetobacter,C,2,3
E11,E,11,9,keratin,BR1.10,5,0,1.187,NA,NA,Chryseobacterium,C,2,3
G11,G,11,9,keratin,blank,5,0,0.214,NA,NA,blank,C,2,3
A1,A,1,10,m9,EKS20.5,5,1,0.195,0.49,0.018,Stenotrophomonas,A,1,2
C1,C,1,10,m9,BR1.9,5,1,0.237,0.53,0.017,Actinetobacter,A,1,2
E1,E,1,10,m9,BR1.10,5,1,0.219,0.75,0.024,Chryseobacterium,A,1,2
G1,G,1,10,m9,blank,5,1,0.209,0.59,0.008,blank,A,1,2
A3,A,3,10,m9,EKS20.5,5,1,0.211,0.62,0.036,Stenotrophomonas,B,1,2
C3,C,3,10,m9,BR1.9,5,1,0.229,0.53,0.019,Actinetobacter,B,1,2
E3,E,3,10,m9,BR1.10,5,1,0.216,0.54,0.01,Chryseobacterium,B,1,2
G3,G,3,10,m9,blank,5,1,0.205,0.55,0.013,blank,B,1,2
A5,A,5,10,m9,EKS20.5,5,1,0.205,0.51,0.025,Stenotrophomonas,C,1,2
C5,C,5,10,m9,BR1.9,5,1,0.23,0.39,0.009,Actinetobacter,C,1,2
E5,E,5,10,m9,BR1.10,5,1,0.216,0.59,0.046,Chryseobacterium,C,1,2
G5,G,5,10,m9,blank,5,1,0.22,0.57,0.017,blank,C,1,2
A7,A,7,10,m9,EKS20.5,5,0,0.212,NA,NA,Stenotrophomonas,A,1,1
C7,C,7,10,m9,BR1.9,5,0,0.233,NA,NA,Actinetobacter,A,1,1
E7,E,7,10,m9,BR1.10,5,0,0.228,NA,NA,Chryseobacterium,A,1,1
G7,G,7,10,m9,blank,5,0,0.197,NA,NA,blank,A,1,1
A9,A,9,10,m9,EKS20.5,5,0,0.214,NA,NA,Stenotrophomonas,B,1,1
C9,C,9,10,m9,BR1.9,5,0,0.224,NA,NA,Actinetobacter,B,1,1
E9,E,9,10,m9,BR1.10,5,0,0.215,NA,NA,Chryseobacterium,B,1,1
G9,G,9,10,m9,blank,5,0,0.188,NA,NA,blank,B,1,1
A11,A,11,10,m9,EKS20.5,5,0,0.229,NA,NA,Stenotrophomonas,C,1,1
C11,C,11,10,m9,BR1.9,5,0,0.216,NA,NA,Actinetobacter,C,1,1
E11,E,11,10,m9,BR1.10,5,0,0.208,NA,NA,Chryseobacterium,C,1,1
G11,G,11,10,m9,blank,5,0,0.191,NA,NA,blank,C,1,1
A1,A,1,11,keratin,EKS20.5,6,1,1.509,NA,0.016,Stenotrophomonas,A,2,4
C1,C,1,11,keratin,BR1.9,6,1,0.246,0.63,0.021,Actinetobacter,A,2,4
E1,E,1,11,keratin,BR1.10,6,1,1.339,NA,0.022,Chryseobacterium,A,2,4
G1,G,1,11,keratin,blank,6,1,0.22,0.93,0.037,blank,A,2,4
A3,A,3,11,keratin,EKS20.5,6,1,1.344,NA,0.028,Stenotrophomonas,B,2,4
C3,C,3,11,keratin,BR1.9,6,1,0.265,0.96,0.02,Actinetobacter,B,2,4
E3,E,3,11,keratin,BR1.10,6,1,1.207,NA,0.023,Chryseobacterium,B,2,4
G3,G,3,11,keratin,blank,6,1,0.229,0.86,0.033,blank,B,2,4
A5,A,5,11,keratin,EKS20.5,6,1,1.379,NA,0.022,Stenotrophomonas,C,2,4
C5,C,5,11,keratin,BR1.9,6,1,0.214,0.82,0.034,Actinetobacter,C,2,4
E5,E,5,11,keratin,BR1.10,6,1,1.286,0.29,0.028,Chryseobacterium,C,2,4
G5,G,5,11,keratin,blank,6,1,0.207,0.85,0.062,blank,C,2,4
A7,A,7,11,keratin,EKS20.5,6,0,1.401,NA,NA,Stenotrophomonas,A,2,3
C7,C,7,11,keratin,BR1.9,6,0,0.227,NA,NA,Actinetobacter,A,2,3
E7,E,7,11,keratin,BR1.10,6,0,1.284,NA,NA,Chryseobacterium,A,2,3
G7,G,7,11,keratin,blank,6,0,0.227,NA,NA,blank,A,2,3
A9,A,9,11,keratin,EKS20.5,6,0,1.356,NA,NA,Stenotrophomonas,B,2,3
C9,C,9,11,keratin,BR1.9,6,0,0.233,NA,NA,Actinetobacter,B,2,3
E9,E,9,11,keratin,BR1.10,6,0,1.117,NA,NA,Chryseobacterium,B,2,3
G9,G,9,11,keratin,blank,6,0,0.227,NA,NA,blank,B,2,3
A11,A,11,11,keratin,EKS20.5,6,0,1.4,NA,NA,Stenotrophomonas,C,2,3
C11,C,11,11,keratin,BR1.9,6,0,0.248,NA,NA,Actinetobacter,C,2,3
E11,E,11,11,keratin,BR1.10,6,0,1.111,NA,NA,Chryseobacterium,C,2,3
G11,G,11,11,keratin,blank,6,0,0.226,NA,NA,blank,C,2,3
A1,A,1,12,m9,EKS20.5,6,1,0.197,0.67,0.018,Stenotrophomonas,A,1,2
C1,C,1,12,m9,BR1.9,6,1,0.243,0.61,0.017,Actinetobacter,A,1,2
E1,E,1,12,m9,BR1.10,6,1,0.21,0.69,0.024,Chryseobacterium,A,1,2
G1,G,1,12,m9,blank,6,1,0.217,0.75,0.008,blank,A,1,2
A3,A,3,12,m9,EKS20.5,6,1,0.208,0.68,0.036,Stenotrophomonas,B,1,2
C3,C,3,12,m9,BR1.9,6,1,0.233,0.71,0.019,Actinetobacter,B,1,2
E3,E,3,12,m9,BR1.10,6,1,0.204,0.69,0.01,Chryseobacterium,B,1,2
G3,G,3,12,m9,blank,6,1,0.214,0.72,0.013,blank,B,1,2
A5,A,5,12,m9,EKS20.5,6,1,0.219,0.78,0.025,Stenotrophomonas,C,1,2
C5,C,5,12,m9,BR1.9,6,1,0.241,0.63,0.009,Actinetobacter,C,1,2
E5,E,5,12,m9,BR1.10,6,1,0.223,0.72,0.046,Chryseobacterium,C,1,2
G5,G,5,12,m9,blank,6,1,0.228,0.72,0.017,blank,C,1,2
A7,A,7,12,m9,EKS20.5,6,0,0.207,NA,NA,Stenotrophomonas,A,1,1
C7,C,7,12,m9,BR1.9,6,0,0.23,NA,NA,Actinetobacter,A,1,1
E7,E,7,12,m9,BR1.10,6,0,0.222,NA,NA,Chryseobacterium,A,1,1
G7,G,7,12,m9,blank,6,0,0.208,NA,NA,blank,A,1,1
A9,A,9,12,m9,EKS20.5,6,0,0.21,NA,NA,Stenotrophomonas,B,1,1
C9,C,9,12,m9,BR1.9,6,0,0.22,NA,NA,Actinetobacter,B,1,1
E9,E,9,12,m9,BR1.10,6,0,0.213,NA,NA,Chryseobacterium,B,1,1
G9,G,9,12,m9,blank,6,0,0.215,NA,NA,blank,B,1,1
A11,A,11,12,m9,EKS20.5,6,0,0.201,NA,NA,Stenotrophomonas,C,1,1
C11,C,11,12,m9,BR1.9,6,0,0.203,NA,NA,Actinetobacter,C,1,1
E11,E,11,12,m9,BR1.10,6,0,0.215,NA,NA,Chryseobacterium,C,1,1
G11,G,11,12,m9,blank,6,0,0.201,NA,NA,blank,C,1,1
A1,A,1,13,keratin,EKS20.5,7,1,1.719,NA,0.016,Stenotrophomonas,A,2,4
C1,C,1,13,keratin,BR1.9,7,1,0.255,0.86,0.021,Actinetobacter,A,2,4
E1,E,1,13,keratin,BR1.10,7,1,1.347,NA,0.022,Chryseobacterium,A,2,4
G1,G,1,13,keratin,blank,7,1,0.223,0.87,0.037,blank,A,2,4
A3,A,3,13,keratin,EKS20.5,7,1,1.518,NA,0.028,Stenotrophomonas,B,2,4
C3,C,3,13,keratin,BR1.9,7,1,0.253,0.94,0.02,Actinetobacter,B,2,4
E3,E,3,13,keratin,BR1.10,7,1,1.266,0.32,0.023,Chryseobacterium,B,2,4
G3,G,3,13,keratin,blank,7,1,0.227,0.86,0.033,blank,B,2,4
A5,A,5,13,keratin,EKS20.5,7,1,1.586,NA,0.022,Stenotrophomonas,C,2,4
C5,C,5,13,keratin,BR1.9,7,1,0.26,0.92,0.034,Actinetobacter,C,2,4
E5,E,5,13,keratin,BR1.10,7,1,1.234,0.31,0.028,Chryseobacterium,C,2,4
G5,G,5,13,keratin,blank,7,1,0.211,0.86,0.062,blank,C,2,4
A7,A,7,13,keratin,EKS20.5,7,0,1.506,NA,NA,Stenotrophomonas,A,2,3
C7,C,7,13,keratin,BR1.9,7,0,0.239,NA,NA,Actinetobacter,A,2,3
E7,E,7,13,keratin,BR1.10,7,0,1.456,NA,NA,Chryseobacterium,A,2,3
G7,G,7,13,keratin,blank,7,0,0.244,NA,NA,blank,A,2,3
A9,A,9,13,keratin,EKS20.5,7,0,1.467,NA,NA,Stenotrophomonas,B,2,3
C9,C,9,13,keratin,BR1.9,7,0,0.223,NA,NA,Actinetobacter,B,2,3
E9,E,9,13,keratin,BR1.10,7,0,1.015,NA,NA,Chryseobacterium,B,2,3
G9,G,9,13,keratin,blank,7,0,0.222,NA,NA,blank,B,2,3
A11,A,11,13,keratin,EKS20.5,7,0,1.463,NA,NA,Stenotrophomonas,C,2,3
C11,C,11,13,keratin,BR1.9,7,0,0.221,NA,NA,Actinetobacter,C,2,3
E11,E,11,13,keratin,BR1.10,7,0,0.953,NA,NA,Chryseobacterium,C,2,3
G11,G,11,13,keratin,blank,7,0,0.227,NA,NA,blank,C,2,3
A1,A,1,14,m9,EKS20.5,7,1,0.248,0.74,0.018,Stenotrophomonas,A,1,2
C1,C,1,14,m9,BR1.9,7,1,0.254,0.66,0.017,Actinetobacter,A,1,2
E1,E,1,14,m9,BR1.10,7,1,0.236,0.82,0.024,Chryseobacterium,A,1,2
G1,G,1,14,m9,blank,7,1,0.233,0.87,0.008,blank,A,1,2
A3,A,3,14,m9,EKS20.5,7,1,0.266,0.82,0.036,Stenotrophomonas,B,1,2
C3,C,3,14,m9,BR1.9,7,1,0.245,0.78,0.019,Actinetobacter,B,1,2
E3,E,3,14,m9,BR1.10,7,1,0.212,0.83,0.01,Chryseobacterium,B,1,2
G3,G,3,14,m9,blank,7,1,0.227,0.85,0.013,blank,B,1,2
A5,A,5,14,m9,EKS20.5,7,1,0.229,0.71,0.025,Stenotrophomonas,C,1,2
C5,C,5,14,m9,BR1.9,7,1,0.264,0.75,0.009,Actinetobacter,C,1,2
E5,E,5,14,m9,BR1.10,7,1,0.242,0.88,0.046,Chryseobacterium,C,1,2
G5,G,5,14,m9,blank,7,1,0.232,0.83,0.017,blank,C,1,2
A7,A,7,14,m9,EKS20.5,7,0,0.253,NA,NA,Stenotrophomonas,A,1,1
C7,C,7,14,m9,BR1.9,7,0,0.251,NA,NA,Actinetobacter,A,1,1
E7,E,7,14,m9,BR1.10,7,0,0.23,NA,NA,Chryseobacterium,A,1,1
G7,G,7,14,m9,blank,7,0,0.22,NA,NA,blank,A,1,1
A9,A,9,14,m9,EKS20.5,7,0,0.244,NA,NA,Stenotrophomonas,B,1,1
C9,C,9,14,m9,BR1.9,7,0,0.259,NA,NA,Actinetobacter,B,1,1
E9,E,9,14,m9,BR1.10,7,0,0.233,NA,NA,Chryseobacterium,B,1,1
G9,G,9,14,m9,blank,7,0,0.224,NA,NA,blank,B,1,1
A11,A,11,14,m9,EKS20.5,7,0,0.241,NA,NA,Stenotrophomonas,C,1,1
C11,C,11,14,m9,BR1.9,7,0,0.234,NA,NA,Actinetobacter,C,1,1
E11,E,11,14,m9,BR1.10,7,0,0.216,NA,NA,Chryseobacterium,C,1,1
G11,G,11,14,m9,blank,7,0,0.212,NA,NA,blank,C,1,1
A1,A,1,1,keratin,BR1.7,1,1,0.311,0.08,NA,Staphylococcus,A,4,8
C1,C,1,1,keratin,TR087-7.2,1,1,0.262,0.15,NA,Myroides,A,4,8
E1,E,1,1,keratin,BR1.11,1,1,0.435,0.09,NA,Enterobacter,A,4,8
G1,G,1,1,keratin,blank,1,1,0.237,0.19,NA,blank,A,4,8
A3,A,3,1,keratin,BR1.7,1,1,0.297,0.12,NA,Staphylococcus,B,4,8
C3,C,3,1,keratin,TR087-7.2,1,1,0.24,0.13,NA,Myroides,B,4,8
E3,E,3,1,keratin,BR1.11,1,1,0.471,0.09,NA,Enterobacter,B,4,8
G3,G,3,1,keratin,blank,1,1,0.234,0.14,NA,blank,B,4,8
A5,A,5,1,keratin,BR1.7,1,1,0.262,0.08,NA,Staphylococcus,C,4,8
C5,C,5,1,keratin,TR087-7.2,1,1,0.249,0.15,NA,Myroides,C,4,8
E5,E,5,1,keratin,BR1.11,1,1,0.474,0.09,NA,Enterobacter,C,4,8
G5,G,5,1,keratin,blank,1,1,0.235,0.17,NA,blank,C,4,8
A7,A,7,1,keratin,BR1.7,1,0,0.323,NA,NA,NA,A,4,7
C7,C,7,1,keratin,TR087-7.2,1,0,0.232,NA,NA,NA,A,4,7
E7,E,7,1,keratin,BR1.11,1,0,0.445,NA,NA,NA,A,4,7
G7,G,7,1,keratin,blank,1,0,0.23,NA,NA,NA,A,4,7
A9,A,9,1,keratin,BR1.7,1,0,0.262,NA,NA,NA,B,4,7
C9,C,9,1,keratin,TR087-7.2,1,0,0.228,NA,NA,NA,B,4,7
E9,E,9,1,keratin,BR1.11,1,0,0.407,NA,NA,NA,B,4,7
G9,G,9,1,keratin,blank,1,0,0.226,NA,NA,NA,B,4,7
A11,A,11,1,keratin,BR1.7,1,0,0.339,NA,NA,NA,C,4,7
C11,C,11,1,keratin,TR087-7.2,1,0,0.252,NA,NA,NA,C,4,7
E11,E,11,1,keratin,BR1.11,1,0,0.466,NA,NA,NA,C,4,7
G11,G,11,1,keratin,blank,1,0,0.227,NA,NA,NA,C,4,7
A1,A,1,2,m9,BR1.7,1,1,0.241,0.03,NA,Staphylococcus,A,3,6
C1,C,1,2,m9,TR087-7.2,1,1,0.254,0.06,NA,Myroides,A,3,6
E1,E,1,2,m9,BR1.11,1,1,0.361,0.07,NA,Enterobacter,A,3,6
G1,G,1,2,m9,blank,1,1,0.241,0.05,NA,blank,A,3,6
A3,A,3,2,m9,BR1.7,1,1,0.246,0.06,NA,Staphylococcus,B,3,6
C3,C,3,2,m9,TR087-7.2,1,1,0.257,0.05,NA,Myroides,B,3,6
E3,E,3,2,m9,BR1.11,1,1,0.361,0.06,NA,Enterobacter,B,3,6
G3,G,3,2,m9,blank,1,1,0.213,0.04,NA,blank,B,3,6
A5,A,5,2,m9,BR1.7,1,1,0.24,0.05,NA,Staphylococcus,C,3,6
C5,C,5,2,m9,TR087-7.2,1,1,0.248,0.08,NA,Myroides,C,3,6
E5,E,5,2,m9,BR1.11,1,1,0.365,0.07,NA,Enterobacter,C,3,6
G5,G,5,2,m9,blank,1,1,0.235,0.05,NA,blank,C,3,6
A7,A,7,2,m9,BR1.7,1,0,0.221,NA,NA,NA,A,3,5
C7,C,7,2,m9,TR087-7.2,1,0,0.237,NA,NA,NA,A,3,5
E7,E,7,2,m9,BR1.11,1,0,0.348,NA,NA,NA,A,3,5
G7,G,7,2,m9,blank,1,0,0.232,NA,NA,NA,A,3,5
A9,A,9,2,m9,BR1.7,1,0,0.237,NA,NA,NA,B,3,5
C9,C,9,2,m9,TR087-7.2,1,0,0.238,NA,NA,NA,B,3,5
E9,E,9,2,m9,BR1.11,1,0,0.364,NA,NA,NA,B,3,5
G9,G,9,2,m9,blank,1,0,0.24,NA,NA,NA,B,3,5
A11,A,11,2,m9,BR1.7,1,0,0.221,NA,NA,NA,C,3,5
C11,C,11,2,m9,TR087-7.2,1,0,0.23,NA,NA,NA,C,3,5
E11,E,11,2,m9,BR1.11,1,0,0.387,NA,NA,NA,C,3,5
G11,G,11,2,m9,blank,1,0,0.217,NA,NA,NA,C,3,5
A1,A,1,3,keratin,BR1.7,2,1,0.267,0.11,NA,Staphylococcus,A,4,8
C1,C,1,3,keratin,TR087-7.2,2,1,0.355,0.27,NA,Myroides,A,4,8
E1,E,1,3,keratin,BR1.11,2,1,0.424,0.08,NA,Enterobacter,A,4,8
G1,G,1,3,keratin,blank,2,1,0.211,0.33,NA,blank,A,4,8
A3,A,3,3,keratin,BR1.7,2,1,0.248,0.12,NA,Staphylococcus,B,4,8
C3,C,3,3,keratin,TR087-7.2,2,1,0.273,0.22,NA,Myroides,B,4,8
E3,E,3,3,keratin,BR1.11,2,1,0.396,0.08,NA,Enterobacter,B,4,8
G3,G,3,3,keratin,blank,2,1,0.203,0.32,NA,blank,B,4,8
A5,A,5,3,keratin,BR1.7,2,1,0.269,0.2,NA,Staphylococcus,C,4,8
C5,C,5,3,keratin,TR087-7.2,2,1,0.286,0.18,NA,Myroides,C,4,8
E5,E,5,3,keratin,BR1.11,2,1,0.461,0.09,NA,Enterobacter,C,4,8
G5,G,5,3,keratin,blank,2,1,0.208,0.3,NA,blank,C,4,8
A7,A,7,3,keratin,BR1.7,2,0,0.353,NA,NA,NA,A,4,7
C7,C,7,3,keratin,TR087-7.2,2,0,0.308,NA,NA,NA,A,4,7
E7,E,7,3,keratin,BR1.11,2,0,0.471,NA,NA,NA,A,4,7
G7,G,7,3,keratin,blank,2,0,0.211,NA,NA,NA,A,4,7
A9,A,9,3,keratin,BR1.7,2,0,0.32,NA,NA,NA,B,4,7
C9,C,9,3,keratin,TR087-7.2,2,0,0.268,NA,NA,NA,B,4,7
E9,E,9,3,keratin,BR1.11,2,0,0.474,NA,NA,NA,B,4,7
G9,G,9,3,keratin,blank,2,0,0.22,NA,NA,NA,B,4,7
A11,A,11,3,keratin,BR1.7,2,0,0.3,NA,NA,NA,C,4,7
C11,C,11,3,keratin,TR087-7.2,2,0,0.32,NA,NA,NA,C,4,7
E11,E,11,3,keratin,BR1.11,2,0,0.402,NA,NA,NA,C,4,7
G11,G,11,3,keratin,blank,2,0,0.225,NA,NA,NA,C,4,7
A1,A,1,4,m9,BR1.7,2,1,0.249,0.15,NA,Staphylococcus,A,3,6
C1,C,1,4,m9,TR087-7.2,2,1,0.255,0.19,NA,Myroides,A,3,6
E1,E,1,4,m9,BR1.11,2,1,0.29,0.17,NA,Enterobacter,A,3,6
G1,G,1,4,m9,blank,2,1,0.228,0.15,NA,blank,A,3,6
A3,A,3,4,m9,BR1.7,2,1,0.231,0.17,NA,Staphylococcus,B,3,6
C3,C,3,4,m9,TR087-7.2,2,1,0.249,0.2,NA,Myroides,B,3,6
E3,E,3,4,m9,BR1.11,2,1,0.272,0.19,NA,Enterobacter,B,3,6
G3,G,3,4,m9,blank,2,1,0.229,0.14,NA,blank,B,3,6
A5,A,5,4,m9,BR1.7,2,1,0.234,0.18,NA,Staphylococcus,C,3,6
C5,C,5,4,m9,TR087-7.2,2,1,0.245,0.19,NA,Myroides,C,3,6
E5,E,5,4,m9,BR1.11,2,1,0.279,0.23,NA,Enterobacter,C,3,6
G5,G,5,4,m9,blank,2,1,0.234,0.15,NA,blank,C,3,6
A7,A,7,4,m9,BR1.7,2,0,0.229,NA,NA,NA,A,3,5
C7,C,7,4,m9,TR087-7.2,2,0,0.22,NA,NA,NA,A,3,5
E7,E,7,4,m9,BR1.11,2,0,0.289,NA,NA,NA,A,3,5
G7,G,7,4,m9,blank,2,0,0.231,NA,NA,NA,A,3,5
A9,A,9,4,m9,BR1.7,2,0,0.241,NA,NA,NA,B,3,5
C9,C,9,4,m9,TR087-7.2,2,0,0.227,NA,NA,NA,B,3,5
E9,E,9,4,m9,BR1.11,2,0,0.279,NA,NA,NA,B,3,5
G9,G,9,4,m9,blank,2,0,0.222,NA,NA,NA,B,3,5
A11,A,11,4,m9,BR1.7,2,0,0.224,NA,NA,NA,C,3,5
C11,C,11,4,m9,TR087-7.2,2,0,0.222,NA,NA,NA,C,3,5
E11,E,11,4,m9,BR1.11,2,0,0.292,NA,NA,NA,C,3,5
G11,G,11,4,m9,blank,2,0,0.224,NA,NA,NA,C,3,5
